股票代码,股票简称,一级行业,二级行业,三级行业,所属概念
000009.SZ,中国宝安,综合,综合,综合Ⅲ,磷酸铁锂;低碳;土地流转;聚土地概念;融资融券;深股通;转融券标的;充电桩;生物医药;负极材料;新能源汽车;锂电池;石墨烯;创投;稀土永磁;黄金概念;小金属概念;钴;分拆上市意愿;参股新三板;军工;芯片概念;口罩;新三板精选层;标普道琼斯A股;富时罗素概念股;富时罗素概念
000409.SZ,ST地矿,综合,综合,综合Ⅲ,稀有金属;中医药;小金属概念;黄金概念;地方国资改革;ST板块;山东国资改革;卫星导航
000611.SZ,*ST天首,综合,综合,综合Ⅲ,涉矿;大数据;钼;小金属概念;壳资源;ST板块
000652.SZ,泰达股份,综合,综合,综合Ⅲ,余额宝;滨海新区;秸秆综合利用;参股券商;债转股;废气处理;环渤海;低碳;循环经济;足球概念;雄安金融;重金属治理;雄安新区;垃圾发电;固废处理;节能环保;独角兽概念;流感;创投;芯片概念;天津国资改革;地方国资改革;融资融券;转融券标的;口罩;油气运输仓储;信托概念;深股通
000839.SZ,中信国安,综合,综合,综合Ⅲ,新媒体;中概股回归;锂矿;钾离子电池;数字电视;火箭军;稀有金属;虚拟现实;深股通;转融券标的;锂电制造;VR直播;小金属概念;新能源汽车;锂电池;广播电视;文化传媒;融资融券;网络直播;RCS富媒体通信;标普道琼斯A股;富时罗素概念股;富时罗素概念
002575.SZ,*ST群兴,综合,综合,综合Ⅲ,儿童消费品;融资租赁;圣诞节;股权转让;创投;区块链;ST板块;二胎概念
002967.SZ,广电计量,综合,综合,综合Ⅲ,地方国资改革;新股与次新股;非科创次新股;节能环保;食品安全;广东国资改革;送转填权;中芯国际概念
300012.SZ,华测检测,综合,综合,综合Ⅲ,食品安全;PM2.5;土壤修复;电子商务;废气处理;塑化剂;检测认证;食品中国峰会;环境监测;现代服务业;深股通;融资融券;转融券标的;基因测序;体外诊断;MSCI概念;富时罗素概念股;富时罗素概念
300797.SZ,钢研纳克,综合,综合,综合Ⅲ,央企国资改革;新股与次新股;非科创次新股;食品安全;职业教育;大飞机;稀土永磁;新能源汽车
600070.SH,浙江富润,综合,综合,综合Ⅲ,小额贷款;节能环保;金改;大数据;华为概念;独角兽概念;区块链;口罩;沪股通;今日头条概念;腾讯概念
600083.SH,*ST博信,综合,综合,综合Ⅲ,股权转让;人工智能;智能手表;智能音箱;柔性屏;无线耳机;ST板块
600091.SH,ST明科,综合,综合,综合Ⅲ,ST板块
600139.SH,西部资源,综合,综合,综合Ⅲ,铜;锂矿;成渝特区;稀有金属;涉矿;融资融券;钴;转融券标的;融资租赁;小金属概念;白银;黄金概念
600149.SH,ST坊展,综合,综合,综合Ⅲ,北京大兴机场;京津冀一体化;雄安地产;雄安新区;地方国资改革;ST板块;恒大概念
600175.SH,退市美都,综合,综合,综合Ⅲ,--
600212.SH,*ST江泉,综合,综合,综合Ⅲ,胶合板;铝材加工;股权转让;壳资源;ST板块
600234.SH,ST山水,综合,综合,综合Ⅲ,电子信息;壳资源;ST板块
600247.SH,*ST成城,综合,综合,综合Ⅲ,外贸;中朝贸易区;股权转让;ST板块;参股保险;一元股
600281.SH,太化股份,综合,综合,综合Ⅲ,新材料概念;纳米;烧碱;PVC;煤化工;稀土永磁;地方国资改革;山西国资改革
600382.SH,广东明珠,综合,综合,综合Ⅲ,外贸;涉矿;三旧改造;融资融券;转融券标的;PPP概念;铁矿石
600421.SH,ST仰帆,综合,综合,综合Ⅲ,壳资源;ST板块
600462.SH,*ST九有,综合,综合,综合Ⅲ,中朝贸易区;股权转让;独角兽概念;壳资源;国资驰援;ST板块;一元股
600620.SH,天宸股份,综合,综合,综合Ⅲ,养老地产;老龄化;融资融券;养老概念;转融券标的;智能物流
600682.SH,南京新百,综合,综合,综合Ⅲ,参股民营银行;电子商务;沪股通;老字号;基因测序;养老概念;生物医药;细胞免疫治疗;新零售;创新药;抗癌;标普道琼斯A股
600696.SH,ST岩石,综合,综合,综合Ⅲ,国际板;P2P概念;互联网金融;融资租赁;壳资源;ST板块;互联网
600730.SH,中国高科,综合,综合,综合Ⅲ,职业教育;在线教育;外贸;融资融券;转融券标的;高校;中字头股票;创投;央企国资改革
600784.SH,鲁银投资,综合,综合,综合Ⅲ,股权转让;地方国资改革;山东国资改革;债转股;食盐
600803.SH,新奥股份,综合,综合,综合Ⅲ,油气开采;油价上调;融资融券;沪股通;转融券标的;LNG加气站;天然气;氢能源;甲醇;富时罗素概念股;富时罗素概念
600811.SH,东方集团,综合,综合,综合Ⅲ,振兴东北;依法治国概念;融资融券;沪股通;转融券标的;牛羊肉;贸易战受益股;供应链金融;电子商务;黑龙江自贸区;农业种植;玉米;乡村振兴;标普道琼斯A股
600817.SH,ST宏盛,综合,综合,综合Ⅲ,融资租赁;壳资源;股权转让;ST板块
600881.SH,亚泰集团,综合,综合,综合Ⅲ,抗癌;保障房;循环经济;中朝贸易区;体育产业;参股券商;涉矿;融资融券;转融券标的;医保目录;创新药;水泥;足球概念;超级真菌;吉林国资改革;地方国资改革;富时罗素概念股
600891.SH,*ST秋林,综合,综合,综合Ⅲ,互联网金融;振兴东北;老字号;核电;小金属概念;黄金概念;黑龙江自贸区;ST板块;新零售
600965.SH,福成股份,综合,综合,综合Ⅲ,牛羊肉;家禽养殖;融资融券;转融券标的;殡仪服务;标普道琼斯A股;富时罗素概念股
601512.SH,中新集团,综合,综合,综合Ⅲ,新股与次新股;非科创次新股;地方国资改革;江苏国资改革;创投;长三角一体化;新型城镇化;沪股通
603060.SH,国检集团,综合,综合,综合Ⅲ,沪股通;中材系;标普道琼斯A股;机构重仓
000657.SZ,中钨高新,有色金属,有色冶炼加工,小金属,新材料概念;钨;国改双百行动;小金属概念;创投;央企国资改革;富时罗素概念股
000762.SZ,西藏矿业,有色金属,有色冶炼加工,小金属,稀缺资源;锂矿;稀有金属;高岭土概念;融资融券;铬铁;锂电原料;钴;转融券标的;盐湖提锂;小金属概念;锂电池;新能源汽车;地方国资改革;西藏国资改革;股权转让
000831.SZ,五矿稀土,有色金属,有色冶炼加工,小金属,稀土整合;深股通;小金属概念;稀土永磁;央企国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
000960.SZ,锡业股份,有色金属,有色冶炼加工,小金属,厄尔尼诺概念;稀缺资源;沪锡;融资融券;钨;锌电池;深股通;转融券标的;铟;国改双百行动;小金属概念;债转股;地方国资改革;云南国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
002149.SZ,西部材料,有色金属,有色冶炼加工,小金属,轻型合金;4D打印;核电;超导;钨;钛;稀有金属;小金属概念;柔性屏;5G;地方国资改革;军工;融资融券;分拆上市意愿;转融券标的
002167.SZ,东方锆业,有色金属,有色冶炼加工,小金属,稀有金属;中澳自贸区;涉矿;军工;新材料概念;铀矿;液态金属;小金属概念;国产航母;核电;一带一路;稀土永磁;黄金概念;融资融券;转融券标的
002378.SZ,章源钨业,有色金属,有色冶炼加工,小金属,稀有金属;赣南振兴;石墨烯手机;融资融券;钨;转融券标的;小金属概念;稀土永磁;富时罗素概念股
002428.SZ,云南锗业,有色金属,有色冶炼加工,小金属,锗涨价;融资融券;转融券标的;砷化镓;稀有金属;军工;小金属概念;光伏概念;华为海思概念股;深股通
002460.SZ,赣锋锂业,有色金属,有色冶炼加工,小金属,新能源;新材料概念;融资融券;深股通;转融券标的;新能源汽车;镍氢电池;锂电制造;锂矿;固态电池;锂电池;锂电原料;特斯拉;MSCI概念;无线耳机;标普道琼斯A股;富时罗素概念股;富时罗素概念;小金属概念;钴
002466.SZ,天齐锂业,有色金属,有色冶炼加工,小金属,MSCI概念;深股通;锂电原料;锂矿;融资融券;转融券标的;锂电池;新能源汽车;化肥;固态电池;特斯拉;标普道琼斯A股;富时罗素概念股;富时罗素概念
002716.SZ,*ST金贵,有色金属,有色冶炼加工,小金属,涉矿;金属锑;锌;股权转让;小金属概念;黄金概念;稀土永磁;白银;ST板块;标普道琼斯A股;一元股
002842.SZ,翔鹭钨业,有色金属,有色冶炼加工,小金属,钨;小金属概念
002978.SZ,安宁股份,有色金属,有色冶炼加工,小金属,非科创次新股;新股与次新股;钛白粉;西部开发;铁矿石
300618.SZ,寒锐钴业,有色金属,有色冶炼加工,小金属,深股通;锂电池;钴;小金属概念;融资融券;转融券标的;富时罗素概念股;富时罗素概念
600111.SH,北方稀土,有色金属,有色冶炼加工,小金属,参股新三板;稀缺资源;稀土整合;再生金属;MSCI概念;稀有金属;融资融券;沪股通;新材料概念;转融券标的;小金属概念;稀土永磁;地方国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
600259.SH,广晟有色,有色金属,有色冶炼加工,小金属,再生金属;新材料概念;稀土整合;东盟北部湾;融资融券;钨;转融券标的;稀缺资源;稀有金属;小金属概念;稀土永磁;地方国资改革;广东国资改革
600392.SH,盛和资源,有色金属,有色冶炼加工,小金属,参股保险;低碳;融资融券;钛;转融券标的;沪股通;小金属概念;稀土永磁;央企国资改革;标普道琼斯A股;海南自贸区;富时罗素概念股;富时罗素概念
600456.SH,宝钛股份,有色金属,有色冶炼加工,小金属,3D打印;航天军工;稀缺资源;军工;纳米纸;核电;轻型合金;融资融券;转融券标的;钛;稀有金属;国产航母;大飞机;小金属概念
600459.SH,贵研铂业,有色金属,有色冶炼加工,小金属,PM2.5;废气处理;稀缺资源;铂矿;固废处理;再生金属;稀有金属;尾气治理;钌催化剂;军工;融资融券;沪股通;节能环保;转融券标的;新材料概念;小金属概念;地方国资改革;云南国资改革;标普道琼斯A股;国六标准、国六排放、国六;富时罗素概念股;富时罗素概念
600549.SH,厦门钨业,有色金属,有色冶炼加工,小金属,再生金属;新材料概念;海峡西岸;稀土整合;稀缺资源;电动自行车;融资融券;镍氢电池;钨;沪股通;钼;正极材料;转融券标的;稀有金属;钴;小金属概念;锂电池;稀土永磁;地方国资改革;动力电池回收;分拆上市意愿;MSCI概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
600711.SH,盛屯矿业,有色金属,有色冶炼加工,小金属,锂电池;融资租赁;互联网金融;黄金租赁;供应链金融;沪锡;融资融券;沪股通;铜;锌;转融券标的;钴;涉矿;中非合作;小金属概念;黄金概念;外资券商影子股;金属镍;标普道琼斯A股;富时罗素概念股;富时罗素概念
601958.SH,金钼股份,有色金属,有色冶炼加工,小金属,铀矿;稀有金属;低碳;MSCI概念;融资融券;辉钼;沪股通;转融券标的;钼;小金属概念;证金持股;军工;标普道琼斯A股;富时罗素概念股;富时罗素概念;机构重仓;OLED
603399.SH,吉翔股份,有色金属,有色冶炼加工,小金属,辉钼;钼;文化传媒;小金属概念;百度概念;融资融券;影视娱乐;转融券标的;军工
603663.SH,三祥新材,有色金属,有色冶炼加工,小金属,新材料概念;稀土永磁;机构重仓
603799.SH,华友钴业,有色金属,有色冶炼加工,小金属,供应链金融;新材料概念;沪股通;钴;锂电原料;正极材料;小金属概念;锂电池;长三角一体化;转融券标的;融资融券;MSCI概念;新能源汽车;标普道琼斯A股;宁德时代概念;富时罗素概念股;富时罗素概念
603993.SH,洛阳钼业,有色金属,有色冶炼加工,小金属,MSCI概念;辉钼;融资融券;沪股通;锂电原料;锂电池;钨;铜;转融券标的;钴;钼;稀有金属;小金属概念;黄金概念;磷化工;标普道琼斯A股;富时罗素概念股;富时罗素概念;机构重仓
000630.SZ,铜陵有色,有色金属,有色冶炼加工,铜,稀缺资源;稀有金属;新材料概念;循环经济;铜;融资融券;深股通;钼;转融券标的;铜冶炼;国改双百行动;小金属概念;地方国资改革;安徽国资改革;白银;分拆上市意愿;MSCI概念;标普道琼斯A股;5G;富时罗素概念股;富时罗素概念
000878.SZ,云南铜业,有色金属,有色冶炼加工,铜,再生金属;国家科技大会;稀缺资源;铜;融资融券;深股通;转融券标的;铜冶炼;期货概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
002171.SZ,楚江新材,有色金属,有色冶炼加工,铜,再生金属;铜冶炼;循环经济;铜;深股通;3D打印;军民融合;锂电池;碳纤维;军工;融资融券;分拆上市意愿;转融券标的;标普道琼斯A股;大飞机;碳化硅
002203.SZ,海亮股份,有色金属,有色冶炼加工,铜,海水淡化;特斯拉;稀有金属;海洋经济;再生金属;工业4.0;涉矿;铜;铜冶炼;钒电池;融资融券;深股通;钴;转融券标的;小金属概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
002295.SZ,精艺股份,有色金属,有色冶炼加工,铜,国家科技大会;家用电器;铜;股权转让
300697.SZ,电工合金,有色金属,有色冶炼加工,铜,铁路基建;铜;轨道交通;石墨烯
600255.SH,*ST梦舟,有色金属,有色冶炼加工,铜,参股民营银行;村镇银行;新材料概念;股权转让;铜;3D打印;安徽自贸区;锂电池;锂电制造;影视娱乐;ST板块;一元股
600362.SH,江西铜业,有色金属,有色冶炼加工,铜,稀有金属;循环经济;赣南振兴;鄱阳湖经济区;稀土永磁;铜;再生金属;稀缺资源;MSCI概念;参股券商;铀矿;融资融券;沪股通;转融券标的;铜冶炼;小金属概念;黄金概念;地方国资改革;白银;证金持股;外汇局持股;标普道琼斯A股;富时罗素概念股;富时罗素概念
600490.SH,鹏欣资源,有色金属,有色冶炼加工,铜,超材料概念;临近空间;融资融券;铜;转融券标的;涉矿;钴;小金属概念;黄金概念;白银;新材料概念;宝能系;标普道琼斯A股
601137.SH,博威合金,有色金属,有色冶炼加工,铜,新材料概念;4D打印;外贸;铜;新能源;富士康概念;多晶硅;太阳能;光伏概念;华为概念;融资融券;无线耳机;HIT电池;特斯拉;转融券标的;5G
601212.SH,白银有色,有色金属,有色冶炼加工,铜,铜;涉矿;铜冶炼;钼;小金属概念;黄金概念;融资融券;中非合作;转融券标的;机构重仓
601609.SH,金田铜业,有色金属,有色冶炼加工,铜,新股与次新股;非科创次新股;稀土永磁;新能源汽车;特高压;特斯拉
603527.SH,众源新材,有色金属,有色冶炼加工,铜,--
688388.SH,嘉元科技,有色金属,有色冶炼加工,铜,新能源汽车;锂电池;融资融券;新股与次新股;转融券标的
000060.SZ,中金岭南,有色金属,有色冶炼加工,铅锌,铟;裸眼3D;稀缺资源;锗涨价;锌;电子商务;涉矿;铅;融资融券;深股通;稀有金属;转融券标的;小金属概念;地方国资改革;白银;钴;标普道琼斯A股;广东国资改革;富时罗素概念股;富时罗素概念
000426.SZ,兴业矿业,有色金属,有色冶炼加工,铅锌,涉矿;金属镍;钌催化剂;钴;锌;小金属概念;铁矿石;融资融券;转融券标的;标普道琼斯A股;富时罗素概念股
000603.SZ,盛达资源,有色金属,有色冶炼加工,铅锌,锌;涉矿;参股民营银行;铅;深股通;文化传媒;小金属概念;白银;黄金概念;融资融券;转融券标的;标普道琼斯A股;富时罗素概念股;富时罗素概念
000688.SZ,国城矿业,有色金属,有色冶炼加工,铅锌,铅;涉矿;锌;深股通;小金属概念;MSCI概念;标普道琼斯A股;富时罗素概念股;富时罗素概念;机构重仓
000751.SZ,锌业股份,有色金属,有色冶炼加工,铅锌,锌;锌电池;稀有金属;振兴东北;铟;铜冶炼;钴;小金属概念;稀土永磁;股权转让
000758.SZ,中色股份,有色金属,有色冶炼加工,铅锌,稀有金属;铌;东盟自贸区;稀缺资源;央企控股;涉矿;再生金属;融资融券;深股通;锌;转融券标的;中非合作;小金属概念;稀土永磁;有色铝;央企国资改革;钴;铜;标普道琼斯A股;富时罗素概念股;富时罗素概念
002114.SZ,罗平锌电,有色金属,有色冶炼加工,铅锌,低碳;锌电池;锗涨价;稀有金属;锌;铟;小金属概念;磷化工;地方国资改革
600331.SH,宏达股份,有色金属,有色冶炼加工,铅锌,成渝特区;类稀土;辉钼;涉矿;稀有金属;锌;锗涨价;铟;融资融券;钼;转融券标的;磷酸一铵;小金属概念;信托概念;磷化工
600338.SH,西藏珠峰,有色金属,有色冶炼加工,铅锌,铟;锌;涉矿;稀有金属;锂电池;锂矿;沪股通;一带一路;锂电原料;小金属概念;标普道琼斯A股;富时罗素概念股;富时罗素概念;机构重仓;免税店
600497.SH,驰宏锌锗,有色金属,有色冶炼加工,铅锌,新材料概念;稀缺资源;锗涨价;锌电池;涉矿;稀有金属;融资融券;锌;转融券标的;金属锑;小金属概念;股权转让;MSCI预期;央企国资改革;富时罗素概念股
600531.SH,豫光金铅,有色金属,有色冶炼加工,铅锌,涉矿;铅;再生金属;稀缺资源;沪股通;黄金概念;小金属概念;稀土永磁;地方国资改革;融资融券;固废处理;转融券标的;标普道琼斯A股;白银;富时罗素概念股;富时罗素概念
600961.SH,株冶集团,有色金属,有色冶炼加工,铅锌,循环经济;铟;OLED;锌;铅;锌电池;稀有金属;央企国资改革;小金属概念
601020.SH,华钰矿业,有色金属,有色冶炼加工,铅锌,涉矿;金属锑;锌;小金属概念;黄金概念;融资融券;转融券标的;标普道琼斯A股
601168.SH,西部矿业,有色金属,有色冶炼加工,铅锌,锌电池;铜;稀有金属;再生金属;铜冶炼;涉矿;融资融券;锌;转融券标的;小金属概念;特钢概念;黄金概念;地方国资改革;铁矿石;MSCI概念;标普道琼斯A股;富时罗素概念股;金属镍
000612.SZ,焦作万方,有色金属,有色冶炼加工,铝,中原经济区;稀缺资源;有色铝;稀土永磁;融资融券;转融券标的;铝材加工
000807.SZ,云铝股份,有色金属,有色冶炼加工,铝,稀缺资源;涉矿;电力改革;通信基站;融资融券;深股通;新能源汽车;炭素;转融券标的;氧化铝;有色铝;股权转让;工业互联网;燃料电池;央企国资改革;养老金持股;标普道琼斯A股;富时罗素概念股;富时罗素概念
000933.SZ,神火股份,有色金属,有色冶炼加工,铝,稀缺煤;动力煤;涉矿;中原经济区;深股通;有色铝;融资融券;转融券标的;地方国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
002160.SZ,常铝股份,有色金属,有色冶炼加工,铝,铝材加工;医疗器械概念;特斯拉;有色铝;新能源汽车;生物安全
002379.SZ,宏创控股,有色金属,有色冶炼加工,铝,股权转让;铝材加工;有色铝
002501.SZ,*ST利源,有色金属,有色冶炼加工,铝,高铁;特斯拉;军工;轨道交通;高端装备;有色铝;苹果概念;ST板块;一元股
002532.SZ,新界泵业,有色金属,有色冶炼加工,铝,小额贷款;水利;节水灌溉;排水;污水处理;乡村振兴;铝材加工
002540.SZ,亚太科技,有色金属,有色冶炼加工,铝,3D打印;海水淡化;铝材加工;新能源汽车;有色铝;军工;富时罗素概念股
002578.SZ,闽发铝业,有色金属,有色冶炼加工,铝,小额贷款;海峡西岸;有色铝;一带一路
002806.SZ,华锋股份,有色金属,有色冶炼加工,铝,铝材加工;铝电解电容;新能源整车;有色铝;商誉减值;新能源汽车
002824.SZ,和胜股份,有色金属,有色冶炼加工,铝,新能源汽车;有色铝;锂电池;华为概念;小米概念;消费电子;宁德时代概念
002988.SZ,豪美新材,有色金属,有色冶炼加工,铝,新能源汽车;新股与次新股;非科创次新股;铝材加工;精装修
300328.SZ,宜安科技,有色金属,有色冶炼加工,铝,轻型合金;WIN升级;股权转让;新能源汽车;新材料概念;液态金属;5G;国资驰援;特斯拉;华为概念;稀土永磁;芯片概念;地方国资改革;医疗器械概念;融资融券;转融券标的;口罩;湖南国资改革;深股通;送转填权
300337.SZ,银邦股份,有色金属,有色冶炼加工,铝,海工装备;新材料概念;军工;3D打印;国产航母;有色铝;华为概念;富士康概念;小米概念;大飞机;新能源汽车;创业板重组松绑;医疗器械概念;特斯拉;航空发动机;消费电子
600219.SH,南山铝业,有色金属,有色冶炼加工,铝,物流电商平台;低碳;涉矿;一带一路;轻型合金;参股保险;融资融券;铝材加工;锂电池;大飞机;航空航天;转融券标的;氧化铝;高铁;通用航空;供应链金融;有色铝;沪股通;证金持股;MSCI概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
600595.SH,ST中孚,有色金属,有色冶炼加工,铝,中原经济区;国际板;炭素;超导;有色铝;ST板块;一元股
600768.SH,宁波富邦,有色金属,有色冶炼加工,铝,舟山自贸区;舟山新区;铝材加工;有色铝;体育产业;电子竞技
600888.SH,新疆众和,有色金属,有色冶炼加工,铝,一带一路;新疆振兴;国开行;炭素;铝材加工;稀缺资源;金属镁;有色铝;氧化铝;石墨烯;融资融券;军工;转融券标的;靶材
601388.SH,怡球资源,有色金属,有色冶炼加工,铝,节能环保;危废处理;固废处理;废品回收;再生金属;融资融券;转融券标的;有色铝;台湾概念股;一元股
601600.SH,中国铝业,有色金属,有色冶炼加工,铝,铝材加工;再生金属;稀土整合;央企控股;稀有金属;融资融券;沪股通;转融券标的;炭素;氧化铝;小金属概念;债转股;稀土永磁;中字头股票;有色铝;MSCI概念;央企国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
601677.SH,明泰铝业,有色金属,有色冶炼加工,铝,铝材加工;有色铝;军工;轨道交通
603115.SH,海星股份,有色金属,有色冶炼加工,铝,新股与次新股;非科创次新股;新材料概念;铝电解电容
603876.SH,鼎胜新材,有色金属,有色冶炼加工,铝,锂电池;宁德时代概念;沪股通;标普道琼斯A股
000506.SZ,中润资源,有色金属,有色冶炼加工,黄金,涉矿;黄金概念;融资融券;转融券标的
000975.SZ,银泰黄金,有色金属,有色冶炼加工,黄金,涉矿;铅;融资融券;深股通;锌;转融券标的;小金属概念;黄金概念;白银;养老金持股;MSCI概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
002155.SZ,湖南黄金,有色金属,有色冶炼加工,黄金,稀有金属;节能环保;涉矿;钨;金属锑;深股通;人民币贬值受益;小金属概念;黄金概念;地方国资改革;融资融券;转融券标的;湖南国资改革;标普道琼斯A股;富时罗素概念股;富时罗素概念
002237.SZ,恒邦股份,有色金属,有色冶炼加工,黄金,融资融券;稀缺资源;金属锑;深股通;转融券标的;人民币贬值受益;小金属概念;黄金概念;股权转让;地方国资改革;白银;标普道琼斯A股;铜;富时罗素概念股;富时罗素概念
600311.SH,*ST荣华,有色金属,有色冶炼加工,黄金,兰新白试验区;淀粉;小金属概念;黄金概念;壳资源;白银;ST板块;一元股
600489.SH,中金黄金,有色金属,有色冶炼加工,黄金,央企控股;MSCI概念;稀缺资源;涉矿;融资融券;沪股通;转融券标的;黄金概念;小金属概念;人民币贬值受益;债转股;央企国资改革;白银;养老金持股;标普道琼斯A股;富时罗素概念股;富时罗素概念
600547.SH,山东黄金,有色金属,有色冶炼加工,黄金,MSCI概念;稀缺资源;融资融券;沪股通;转融券标的;国改双百行动;小金属概念;黄金概念;人民币贬值受益;地方国资改革;白银;山东国资改革;证金持股;标普道琼斯A股;富时罗素概念股;富时罗素概念
600687.SH,*ST刚泰,有色金属,有色冶炼加工,黄金,奢侈品;上海自贸区;文化传媒;商品新零售;黄金概念;小金属概念;ST板块;新零售;影视娱乐;一元股
600766.SH,园城黄金,有色金属,有色冶炼加工,黄金,涉矿;股权转让;小金属概念;黄金概念;壳资源;融资融券;转融券标的
600988.SH,赤峰黄金,有色金属,有色冶炼加工,黄金,固废处理;沪锡;稀缺资源;人民币贬值受益;小金属概念;黄金概念;白银;沪股通;富时罗素概念股
601069.SH,西部黄金,有色金属,有色冶炼加工,黄金,沪股通;人民币贬值受益;小金属概念;黄金概念;地方国资改革;融资融券;国改双百行动;转融券标的;标普道琼斯A股;西部开发;富时罗素概念股;富时罗素概念
601899.SH,紫金矿业,有色金属,有色冶炼加工,黄金,MSCI概念;稀缺资源;铜冶炼;稀有金属;融资融券;沪股通;铜;锌;转融券标的;一带一路;钴;人民币贬值受益;中非合作;小金属概念;黄金概念;地方国资改革;证金持股;标普道琼斯A股;富时罗素概念股;富时罗素概念
000633.SZ,合金投资,有色金属,新材料,金属新材料Ⅲ,新材料概念;健康中国;涉矿;股权转让;壳资源;核电
000962.SZ,东方钽业,有色金属,新材料,金属新材料Ⅲ,碳化硅;新材料概念;稀缺资源;轻型合金;智能玻璃;超级电容;铌;锂电池;钛;稀有金属;超导;小金属概念;央企国资改革
000969.SZ,安泰科技,有色金属,新材料,金属新材料Ⅲ,低碳;央企控股;蓝宝石;稀土永磁;分布式发电;新材料概念;液态金属;融资融券;钨;深股通;转融券标的;钼;核电;碳纤维;无线充电;小金属概念;3D打印;燃料电池;央企国资改革;华为概念;标普道琼斯A股;京津冀一体化;创投;节能环保;氢能源;富时罗素概念股;富时罗素概念
002182.SZ,云海金属,有色金属,新材料,金属新材料Ⅲ,液态金属;3D打印;新材料概念;金属镁;稀有金属;轻型合金;富士康概念;有色铝;小金属概念;融资融券;转融券标的;5G;特斯拉;深股通;宁德时代概念;消费电子;蔚来汽车概念
002340.SZ,格林美,有色金属,新材料,金属新材料Ⅲ,土壤修复;电子商务;循环经济;新能源物流车;再生金属;参股新三板;低碳;重金属治理;废品回收;融资融券;深股通;转融券标的;稀缺资源;光伏概念;危废处理;大数据;污水处理;钴;金属镍;锂电池;正极材料;小金属概念;宁德时代概念;特斯拉;固废处理;节能环保;动力电池回收;稀土永磁;石墨烯;新能源汽车;供销社;互联网;MSCI概念;标普道琼斯A股;富时罗素概念股;富时罗素概念
300489.SZ,中飞股份,有色金属,新材料,金属新材料Ⅲ,新材料概念;核电;有色铝;军工;黑龙江自贸区;创业板重组松绑;送转填权
300855.SZ,图南股份,有色金属,新材料,金属新材料Ⅲ,--
600114.SH,东睦股份,有色金属,新材料,金属新材料Ⅲ,3D打印;国际板;股权转让;燃料电池;华为概念;特斯拉;标普道琼斯A股;消费电子
600614.SH,*ST鹏起,有色金属,新材料,金属新材料Ⅲ,浦东新区;小额贷款;钒电池;卫星导航;金改;涉矿;钛;稀土永磁;小金属概念;军工;节能环保;股权转让;军民融合;ST板块;固废处理
600615.SH,丰华股份,有色金属,新材料,金属新材料Ⅲ,摘帽
603045.SH,福达合金,有色金属,新材料,金属新材料Ⅲ,智能电网;氢能源;融资融券;卫星导航;转融券标的
603978.SH,深圳新星,有色金属,新材料,金属新材料Ⅲ,军工;新材料概念;萤石;国资驰援;有色铝;氢氟酸
688122.SH,西部超导,有色金属,新材料,金属新材料Ⅲ,军工;新材料概念;超导;地方国资改革;融资融券;转融券标的;新股与次新股
002130.SZ,沃尔核材,有色金属,新材料,非金属新材料,新材料概念;人造太阳;新能源;融资融券;转融券标的;军工;大飞机;核电;风电;互联网金融;特斯拉;一带一路;深股通;互联网;新能源汽车;富时罗素概念股;富时罗素概念
300080.SZ,易成新能,有色金属,新材料,非金属新材料,碳化硅;新能源;太阳能;中原经济区;多晶硅;河南自贸区;负极材料;锂电池;地方国资改革;金刚石（线）;河南国资改革;HIT电池;新材料概念;石墨电极;光伏概念;深股通
300285.SZ,国瓷材料,有色金属,新材料,非金属新材料,蓝宝石;3D打印;陶瓷电容;碳纳米管;陶瓷产品;深股通;尾气治理;新材料概念;融资融券;转融券标的;MSCI概念;国六标准、国六排放、国六;富时罗素概念股;富时罗素概念
300395.SZ,菲利华,有色金属,新材料,非金属新材料,航天军工;OLED;军民融合;蓝宝石;光纤光缆;OLED材料;5G;深股通
300728.SZ,天常股份,有色金属,新材料,非金属新材料,碳纤维
300821.SZ,东岳硅材,有色金属,新材料,非金属新材料,新股与次新股;非科创次新股;新材料概念;有机硅;燃料电池
600206.SH,有研新材,有色金属,新材料,非金属新材料,多晶硅;OLED;央企控股;钌催化剂;新材料概念;4D打印;融资融券;硅晶圆;沪股通;芯片概念;芯片材料;转融券标的;靶材;军工;砷化镓;OLED材料;小金属概念;稀土永磁;央企国资改革;华为概念;5G;医疗器械概念;标普道琼斯A股;富时罗素概念股;富时罗素概念;中芯国际概念
600516.SH,方大炭素,有色金属,新材料,非金属新材料,兰新白试验区;碳纤维;石灰石;融资融券;沪股通;新材料概念;炭黑;粗苯;石墨电极;核电;MSCI概念;石墨烯;标普道琼斯A股;铁矿石;富时罗素概念股;富时罗素概念
